Doença,Especie,Ano,UF,Quantidade de Focos
Tuberculose Bovina,BOV,2025,BA,1
Tuberculose Bovina,BOV,2025,CE,1
Tuberculose Bovina,BOV,2025,DF,1
Tuberculose Bovina,BOV,2025,ES,2
Tuberculose Bovina,BOV,2025,GO,1
Tuberculose Bovina,BOV,2025,MA,1
Tuberculose Bovina,BOV,2025,MG,5
Tuberculose Bovina,BOV,2025,MT,2
Tuberculose Bovina,BOV,2025,PB,1
Tuberculose Bovina,BOV,2025,PE,3
Tuberculose Bovina,BOV,2025,PR,72
Tuberculose Bovina,BOV,2025,RJ,3
Tuberculose Bovina,BOV,2025,RN,5
Tuberculose Bovina,BOV,2025,RS,63
Tuberculose Bovina,BOV,2025,SC,47
Tuberculose Bovina,BOV,2025,SP,23
Tuberculose Bovina,BUF,2025,AM,2
Tuberculose Bovina,BUF,2025,RS,1
Tuberculose Bovina,BOV,2012,AC,1
Tuberculose Bovina,BOV,2016,AC,1
Tuberculose Bovina,BOV,2017,AC,1
Tuberculose Bovina,BOV,2019,AC,1
Tuberculose Bovina,BOV,2012,AL,7
Tuberculose Bovina,BOV,2013,AL,5
Tuberculose Bovina,BOV,2014,AL,1
Tuberculose Bovina,BOV,2015,AL,2
Tuberculose Bovina,BOV,2016,AL,2
Tuberculose Bovina,BOV,2017,AL,2
Tuberculose Bovina,BOV,2019,AL,2
Tuberculose Bovina,BOV,2020,AL,1
Tuberculose Bovina,BOV,2012,AM,2
Tuberculose Bovina,BOV,2013,AM,1
Tuberculose Bovina,BOV,2014,AM,10
Tuberculose Bovina,BOV,2015,AM,1
Tuberculose Bovina,BOV,2016,AM,1
Tuberculose Bovina,BOV,2017,AM,1
Tuberculose Bovina,BOV,2018,AM,1
Tuberculose Bovina,BOV,2019,AM,0
Tuberculose Bovina,BOV,2022,AM,1
Tuberculose Bovina,BOV,2013,AP,1
Tuberculose Bovina,BOV,2014,AP,1
Tuberculose Bovina,BOV,2018,AP,1
Tuberculose Bovina,BOV,2012,BA,2
Tuberculose Bovina,BOV,2013,BA,2
Tuberculose Bovina,BOV,2014,BA,2
Tuberculose Bovina,BOV,2015,BA,1
Tuberculose Bovina,BOV,2016,BA,2
Tuberculose Bovina,BOV,2017,BA,1
Tuberculose Bovina,BOV,2019,BA,1
Tuberculose Bovina,BOV,2020,BA,3
Tuberculose Bovina,BOV,2012,CE,14
Tuberculose Bovina,BOV,2013,CE,18
Tuberculose Bovina,BOV,2014,CE,4
Tuberculose Bovina,BOV,2015,CE,8
Tuberculose Bovina,BOV,2016,CE,2
Tuberculose Bovina,BOV,2017,CE,3
Tuberculose Bovina,BOV,2019,CE,2
Tuberculose Bovina,BOV,2020,CE,2
Tuberculose Bovina,BOV,2021,CE,3
Tuberculose Bovina,BOV,2022,CE,3
Tuberculose Bovina,BOV,2023,CE,5
Tuberculose Bovina,BOV,2024,CE,3
Tuberculose Bovina,BOV,2012,DF,3
Tuberculose Bovina,BOV,2013,DF,10
Tuberculose Bovina,BOV,2014,DF,1
Tuberculose Bovina,BOV,2015,DF,3
Tuberculose Bovina,BOV,2016,DF,1
Tuberculose Bovina,BOV,2017,DF,1
Tuberculose Bovina,BOV,2020,DF,1
Tuberculose Bovina,BOV,2021,DF,4
Tuberculose Bovina,BOV,2022,DF,4
Tuberculose Bovina,BOV,2012,ES,6
Tuberculose Bovina,BOV,2013,ES,23
Tuberculose Bovina,BOV,2014,ES,12
Tuberculose Bovina,BOV,2015,ES,10
Tuberculose Bovina,BOV,2016,ES,3
Tuberculose Bovina,BOV,2017,ES,7
Tuberculose Bovina,BOV,2018,ES,6
Tuberculose Bovina,BOV,2019,ES,12
Tuberculose Bovina,BOV,2020,ES,2
Tuberculose Bovina,BOV,2021,ES,2
Tuberculose Bovina,BOV,2022,ES,2
Tuberculose Bovina,BOV,2023,ES,1
Tuberculose Bovina,BOV,2024,ES,4
Tuberculose Bovina,BOV,2012,GO,32
Tuberculose Bovina,BOV,2013,GO,39
Tuberculose Bovina,BOV,2014,GO,40
Tuberculose Bovina,BOV,2015,GO,47
Tuberculose Bovina,BOV,2016,GO,31
Tuberculose Bovina,BOV,2017,GO,24
Tuberculose Bovina,BOV,2018,GO,14
Tuberculose Bovina,BOV,2019,GO,11
Tuberculose Bovina,BOV,2020,GO,3
Tuberculose Bovina,BOV,2021,GO,3
Tuberculose Bovina,BOV,2022,GO,2
Tuberculose Bovina,BOV,2023,GO,3
Tuberculose Bovina,BOV,2024,GO,9
Tuberculose Bovina,BOV,2012,MA,11
Tuberculose Bovina,BOV,2013,MA,3
Tuberculose Bovina,BOV,2014,MA,1
Tuberculose Bovina,BOV,2015,MA,1
Tuberculose Bovina,BOV,2016,MA,1
Tuberculose Bovina,BOV,2017,MA,2
Tuberculose Bovina,BOV,2018,MA,14
Tuberculose Bovina,BOV,2019,MA,14
Tuberculose Bovina,BOV,2012,MG,171
Tuberculose Bovina,BOV,2013,MG,134
Tuberculose Bovina,BOV,2014,MG,92
Tuberculose Bovina,BOV,2015,MG,65
Tuberculose Bovina,BOV,2016,MG,35
Tuberculose Bovina,BOV,2017,MG,40
Tuberculose Bovina,BOV,2018,MG,38
Tuberculose Bovina,BOV,2019,MG,56
Tuberculose Bovina,BOV,2020,MG,51
Tuberculose Bovina,BOV,2021,MG,37
Tuberculose Bovina,BOV,2022,MG,36
Tuberculose Bovina,BOV,2023,MG,46
Tuberculose Bovina,BOV,2024,MG,34
Tuberculose Bovina,BOV,2013,MS,16
Tuberculose Bovina,BOV,2014,MS,2
Tuberculose Bovina,BOV,2017,MS,7
Tuberculose Bovina,BOV,2018,MS,12
Tuberculose Bovina,BOV,2019,MS,23
Tuberculose Bovina,BOV,2020,MS,1
Tuberculose Bovina,BOV,2014,MT,1
Tuberculose Bovina,BOV,2015,MT,3
Tuberculose Bovina,BOV,2016,MT,3
Tuberculose Bovina,BOV,2017,MT,2
Tuberculose Bovina,BOV,2018,MT,4
Tuberculose Bovina,BOV,2019,MT,6
Tuberculose Bovina,BOV,2020,MT,7
Tuberculose Bovina,BOV,2021,MT,1
Tuberculose Bovina,BOV,2024,MT,5
Tuberculose Bovina,BOV,2012,PA,48
Tuberculose Bovina,BOV,2013,PA,12
Tuberculose Bovina,BOV,2014,PA,7
Tuberculose Bovina,BOV,2015,PA,9
Tuberculose Bovina,BOV,2016,PA,14
Tuberculose Bovina,BOV,2017,PA,13
Tuberculose Bovina,BOV,2018,PA,3
Tuberculose Bovina,BOV,2019,PA,7
Tuberculose Bovina,BOV,2020,PA,2
Tuberculose Bovina,BOV,2022,PA,2
Tuberculose Bovina,BOV,2023,PA,1
Tuberculose Bovina,BOV,2024,PA,2
Tuberculose Bovina,BOV,2012,PB,11
Tuberculose Bovina,BOV,2013,PB,6
Tuberculose Bovina,BOV,2014,PB,11
Tuberculose Bovina,BOV,2015,PB,6
Tuberculose Bovina,BOV,2017,PB,4
Tuberculose Bovina,BOV,2018,PB,8
Tuberculose Bovina,BOV,2019,PB,4
Tuberculose Bovina,BOV,2024,PB,2
